g,p,pb,resul
Blooming,Real Santa Cruz,0.8013096149855039,vl

San Jose,Real Santa Cruz,0.911095038568197,vv

Aurora,Atletico Palmaflor,0.7011917874685175,vl

Royal Pari,Nacional Potosi,0.6877929680439236,vv

San Jose,Nacional Potosi,0.9643183664007662,vl

Jorge Wilstermann,Real Santa Cruz,0.9988369401910958,vl

San Jose,Guabira,0.9688790352584054,vl

Oriente Petrolero,Real Potosi,0.561923701672572,vv

Guabira,Blooming,0.6934007266426974,vl

Bolivar,Real Potosi,0.9998674769340984,vl

Royal Pari,Real Potosi,0.5699093309795319,vv

Bolivar,Jorge Wilstermann,0.8764754994355792,vl

Always Ready,Nacional Potosi,0.5447676708984379,vl

The Strongest,San Jose,0.8536243648393307,vv

Oriente Petrolero,Royal Pari,0.7396984538376082,vl

Always Ready,Aurora,0.5164788865815806,vv

Jorge Wilstermann,Aurora,0.9983120781811679,vl

Nacional Potosi,Atletico Palmaflor,0.881013264262944,vv

Bolivar,Nacional Potosi,0.9999328388021315,vv

Jorge Wilstermann,The Strongest,0.6768195924719482,vl

Aurora,Nacional Potosi,0.6204775112176413,vl

Real Potosi,Atletico Palmaflor,0.7686206267622571,vv

Jorge Wilstermann,Oriente Petrolero,0.9972451655233453,vl

Jorge Wilstermann,Atletico Palmaflor,0.9997169746227434,vv

Bolivar,Always Ready,0.9994843592912211,vl

Royal Pari,Real Potosi,0.553493153562342,vl

Guabira,Real Santa Cruz,0.6913842125278455,vv

San Jose,Atletico Palmaflor,0.9748687168132443,vl

Aurora,Real Santa Cruz,0.8096624276084035,vl

Oriente Petrolero,Royal Pari,0.6211382743512549,vv

Aurora,Real Potosi,0.7846709818895234,vl

Always Ready,Guabira,0.5252196340455131,vv

Bolivar,Atletico Palmaflor,0.9997942213112181,vl

Jorge Wilstermann,Nacional Potosi,0.9991045498069624,vv

The Strongest,San Jose,0.9813486162266103,vl

Always Ready,Aurora,0.6819667190511661,vl

Royal Pari,Atletico Palmaflor,0.8745962877239533,vv

Jorge Wilstermann,Guabira,0.9973768876928235,vl

Oriente Petrolero,Nacional Potosi,0.728013143802611,vl

The Strongest,Real Santa Cruz,0.9975474508103334,vv

Bolivar,Royal Pari,0.9999126427404924,vv

The Strongest,Real Potosi,0.9978572864870277,vl

Atletico Palmaflor,Nacional Potosi,0.6196949960585223,vv

Jorge Wilstermann,Aurora,0.9965846522256229,vv

Bolivar,Nacional Potosi,0.9997046634124536,vl

Guabira,Atletico Palmaflor,0.8653654687650353,vv

Oriente Petrolero,Aurora,0.827475275812901,vl

Jorge Wilstermann,Blooming,0.9978896950986069,vl

The Strongest,Always Ready,0.9924643722604888,vv

Real Potosi,Real Santa Cruz,0.6490634350557397,vl

San Jose,Real Potosi,0.8481707882261623,vv

Always Ready,Real Santa Cruz,0.7569066152191631,vl

Blooming,Oriente Petrolero,0.6296234353377915,vl

Bolivar,Guabira,0.999752075705887,vv

Guabira,Royal Pari,0.6095103586599793,vv

Bolivar,Aurora,0.9998351603976308,vl

Blooming,Atletico Palmaflor,0.8378809241021858,vv

Always Ready,Real Potosi,0.7273211358115039,vl

Jorge Wilstermann,Real Potosi,0.9985121705051243,vv

The Strongest,Atletico Palmaflor,0.996676538504456,vl

Bolivar,Blooming,0.999756568849541,vv

Guabira,Nacional Potosi,0.6121955925076011,vl

Aurora,Nacional Potosi,0.5662050967364292,vv

Bolivar,The Strongest,0.9555107748029023,vl

Real Santa Cruz,Atletico Palmaflor,0.739971023266409,vv

Jorge Wilstermann,Always Ready,0.9947370127172545,vl

Always Ready,Oriente Petrolero,0.5675583733689267,vl

Real Potosi,Atletico Palmaflor,0.5050213973986407,vl

The Strongest,Royal Pari,0.9955120085522696,vl

Blooming,Nacional Potosi,0.6078436170344654,vl

Aurora,Guabira,0.6531803044255313,vl

San Jose,Aurora,0.9797681668694344,vl

The Strongest,Nacional Potosi,0.9972944971678902,vv

Always Ready,Atletico Palmaflor,0.9282141836079567,vv

Jorge Wilstermann,Atletico Palmaflor,0.9978936676950723,vl

Bolivar,Always Ready,0.9998120484511792,vv

Nacional Potosi,Real Santa Cruz,0.7207271278256164,vv

The Strongest,Guabira,0.9958623790160674,vl

Blooming,Aurora,0.7352705678033684,vl

San Jose,Oriente Petrolero,0.9673630931519241,vl

San Jose,Blooming,0.9748224142327065,vl

Guabira,Real Santa Cruz,0.8042061661368926,vl

Real Potosi,Nacional Potosi,0.5120316823901121,vv

Always Ready,Royal Pari,0.7584576425201217,vv

Oriente Petrolero,Atletico Palmaflor,0.8709872289461104,vv

San Jose,Atletico Palmaflor,0.9671076168364813,vv

Aurora,Real Santa Cruz,0.5902013838740046,vv

The Strongest,Blooming,0.9966702780309175,vl

Real Potosi,Aurora,0.5601955153628884,vl

Always Ready,Guabira,0.5795738312605289,vl

Jorge Wilstermann,Nacional Potosi,0.9969794599811836,vl

Bolivar,Atletico Palmaflor,0.9999787843568314,vv

Bolivar,San Jose,0.998828258204014,vl

Atletico Palmaflor,Royal Pari,0.5560936680056405,vv

Oriente Petrolero,Nacional Potosi,0.6807700932730525,vv

Blooming,Real Potosi,0.7755255019229207,vl

The Strongest,Real Santa Cruz,0.9981638714066132,vl

San Jose,Real Santa Cruz,0.9859782985205244,vl

Always Ready,Blooming,0.6315954156118102,vl

Bolivar,Royal Pari,0.9997218122241587,vl

San Jose,Royal Pari,0.8771522903037065,vv

Guabira,Atletico Palmaflor,0.6938020104660588,vl

Aurora,Oriente Petrolero,0.6419689564966572,vl

Jorge Wilstermann,Blooming,0.9967614098069588,vv

The Strongest,Always Ready,0.991710984324177,vl

Real Potosi,Real Santa Cruz,0.5365719309399231,vv

Oriente Petrolero,Blooming,0.793160280046408,vl

Aurora,Atletico Palmaflor,0.80514824009516,vv

Bolivar,Guabira,0.999743614549818,vl

Nacional Potosi,Royal Pari,0.6426138541048061,vv

San Jose,Nacional Potosi,0.9027943405579176,vv

Guabira,Royal Pari,0.6263025890246244,vl

Blooming,Atletico Palmaflor,0.6899019481701101,vl

The Strongest,Oriente Petrolero,0.9956549356232003,vl

Jorge Wilstermann,Real Potosi,0.9986425871265051,vl

Oriente Petrolero,Real Santa Cruz,0.8744408911150602,vl

The Strongest,Atletico Palmaflor,0.9991438095367379,vv

Bolivar,Blooming,0.9997938324667952,vl

Aurora,Royal Pari,0.5008634626626409,vv

Guabira,Nacional Potosi,0.6700000253940073,vv

San Jose,Guabira,0.7155425296283104,vv

Blooming,Royal Pari,0.6220111779634047,vl

Bolivar,The Strongest,0.9682216088429771,vv

Atletico Palmaflor,Real Santa Cruz,0.6426000968885583,vv

Oriente Petrolero,Real Potosi,0.8564468826768623,vl

Jorge Wilstermann,Always Ready,0.997497797901501,vv

Oriente Petrolero,Always Ready,0.6051691177482806,vl

Bolivar,Real Santa Cruz,0.9998864713962622,vl

The Strongest,Royal Pari,0.9964837146183251,vv

Blooming,Nacional Potosi,0.6201399004499449,vv

Guabira,Aurora,0.7388160515829265,vl

San Jose,Aurora,0.7083600459035317,vv

The Strongest,Nacional Potosi,0.9952365840177587,vl

Always Ready,Atletico Palmaflor,0.6320346647334607,vl

San Jose,Oriente Petrolero,0.5973517160884613,vv

Nacional Potosi,Real Santa Cruz,0.526621019520594,vl

The Strongest,Guabira,0.9900831123796893,vv

Aurora,Blooming,0.7007960117221351,vl

San Jose,Blooming,0.7192513429769167,vv

The Strongest,Aurora,0.9973360790934419,vl

Always Ready,Royal Pari,0.5595628274220255,vl

Bolivar,Jorge Wilstermann,0.9507056650581467,vv

Bolivar,Oriente Petrolero,0.9997307078128975,vl

Jorge Wilstermann,Royal Pari,0.9988355687919029,vv

Guabira,Real Potosi,0.7786941270416325,vl

Bolivar,San Jose,0.995772485130024,vv

Real Potosi,Blooming,0.5045493831267462,vl

Always Ready,Blooming,0.5297792116927621,vv

Guabira,Oriente Petrolero,0.6338792922289115,vl

San Jose,Royal Pari,0.9663210104439818,vl

Jorge Wilstermann,The Strongest,0.6954269131783422,vv

The Strongest,Oriente Petrolero,0.9833004857882175,vv

San Jose,Always Ready,0.7684280825907048,vv

Oriente Petrolero,Real Santa Cruz,0.7017670286817022,vv

Aurora,Royal Pari,0.6344631244036262,vl

